tag, ct, beta, theta, p, sigma, rho, epsilonA, epsilonI, lambda0, gammaA, gammaI, gammaD, cD, dD, dI, delta, S0, R0, Q0, E0, A0, I0, D0, day
CASES, Goias, 9.999997476091345e-06, 0.1599990963713802, 0.0010000171884604083, 0.14285714285714285, 0.12, 0.12911411525105196, 0.10000028676448258, 0.013157894736842105, 0.1000001012913197, 0.1, 0.10004770160913554, 1.4, 0.003950695346905534, 0.005530973485667748, 0.0015753740961672036, 130708.34138168936, 0, 1705.8, 9.0, 3.5999999999999996, 5.4, 3, 76
CASES, Djibouti, 8.088844956081814e-06, 0.15999999999490142, 0.18975271937156982, 0.14285714285714285, 0.12, 0.06743842158849393, 0.10000000022180068, 0.014084507042253521, 0.10000000000070625, 0.1, 0.1111317688080862, 1.4, 0.0007466860166276788, 0.0010453604232787503, 4.012652043550169e-05, 958919.982420467, 0, 1618.2, 3.0, 1.2, 1.8, 1, 71
CASES, Tajikistan, 9.999192330129393e-06, 0.100064181964123, 0.3294938237713065, 0.14285714285714285, 0.12, 0.1999983214293809, 0.3999918668954975, 0.03571428571428571, 0.1499524162653901, 0.1, 0.10009227226380833, 1.4, 0.001507611173587159, 0.0021106556430220227, 0.0005194644939711113, 581673.5453201636, 0, 1860.0, 45.0, 18.0, 27.0, 15, 28
CASES, Thailand, 9.999929975930948e-06, 0.14765831212439207, 0.036218337414019613, 0.14285714285714285, 0.12, 3.577471652249642e-13, 0.10000155967818929, 0.007751937984496124, 0.13811099021868314, 0.1, 0.13391943496283393, 1.4, 0.002554688016359282, 0.0035765632229029943, 0.00011768328612393741, 378848.31122209626, 0, 1827.0, 3.0, 1.2, 1.8, 1, 129
CASES, Senegal, 9.999987802701101e-06, 0.15999912703590397, 0.012103537772752148, 0.14285714285714285, 0.12, 0.001235763035844717, 0.10000420311631468, 0.0125, 0.10000100474746512, 0.1, 0.14971507349774738, 1.4, 0.0018167043766061442, 0.0025433861272486018, 0.0026934130122438504, 148492.69698314497, 0, 1951.8, 3.0, 1.2, 1.8, 1, 80
CASES, Uzbekistan, 3.44488148132059e-06, 0.10000059611728371, 0.25510940561003903, 0.14285714285714285, 0.12, 0.001222353456887826, 0.39999986222714434, 0.013513513513513514, 0.1499999426811895, 0.1, 0.10857332319588982, 1.4, 0.0004579772596391857, 0.0006411681634948599, 0.00014251850337421157, 2723978.6179279615, 0, 1999.8, 18.0, 7.199999999999999, 10.8, 6, 74
CASES, Hungary, 9.999886632003151e-06, 0.15873185664705206, 0.11787616953883025, 0.14285714285714285, 0.12, 0.19857921841150492, 0.15650311568136047, 0.011904761904761904, 0.10000483290568804, 0.1, 0.10022938913553235, 1.4, 0.01542690023283519, 0.021597660325969267, 0.0031562365471254905, 33986.61657264308, 0, 2289.6, 6.0, 2.4, 3.6, 2, 84
CASES, Guinea, 9.999997750647816e-06, 0.1599999994801777, 0.03271651903156746, 0.14285714285714285, 0.12, 0.05241769829994061, 0.2498598704624474, 0.013333333333333334, 0.11636096598390074, 0.1, 0.10000376884452752, 1.4, 0.0006131617943752051, 0.0008584265121252871, 0.000559582824379512, 201567.43139706887, 0, 2067.6, 3.0, 1.2, 1.8, 1, 75
CASES, Puerto_Rico, 9.998266795328919e-06, 0.15982719401014028, 0.3299064594707484, 0.14285714285714285, 0.12, 0.19999938569852493, 0.3999769646504233, 0.016129032258064516, 0.10000029558139112, 0.1, 0.10009779621935838, 1.4, 0.003951228798132568, 0.005531720317385595, 0.0008548866739696015, 100539.48378275838, 0, 2038.1999999999998, 192.0, 76.8, 115.2, 64, 62
CASES, Parana, 9.646702003889662e-06, 0.10002105990801403, 0.0010000000622372995, 0.14285714285714285, 0.12, 0.1999896417654503, 0.10000000700764453, 0.012987012987012988, 0.10000000009306145, 0.1, 0.10009668557353096, 1.4, 0.004567792412087892, 0.006394909376923048, 0.006011431443512516, 115496.98640877339, 0, 2227.2, 18.0, 7.199999999999999, 10.8, 6, 77
