,tag,ct,beta,theta,p,sigma,rho,epsilonA,epsilonI,lambda0,gammaA,gammaI,gammaD,cD,dD,dI,delta,S0,R0,Q0,E0,A0,I0,D0,day
32,CASES,Equatorial_Guinea,2.189138801808314e-06,0.15999999832888,0.03312489965190825,0.14285714285714285,0.12,3.090768752045392e-11,0.10000012533650156,0.012345679012345678,0.14999999350423432,0.1,0.14999995872782335,1.4,0.0013910351659458119,0.0019474492323241362,3.804596601914012e-05,1292281.598048105,0,783.6,3.0,1.2,1.8,1,81
114,CASES,Espirito_Santo,9.999996946780375e-06,0.159999748986644,0.003451497087880469,0.14285714285714285,0.12,0.04587829541827411,0.1000003575412129,0.011235955056179777,0.10000022729468634,0.1,0.1000985679405043,1.4,0.004587937399909909,0.006423112359873873,0.001101669246694692,148136.7734464508,0,9090.6,3.0,1.2,1.8,1,89
44,CASES,Estonia,9.999799968754483e-06,0.15999812936147995,0.09061266856279672,0.14285714285714285,0.12,0.002439606379413461,0.11540114593886967,0.010869565217391304,0.14863895674446448,0.1,0.10000193568216777,1.4,0.0037736579502704814,0.005283121130378674,0.08114739046435382,23347.91265419709,0,1122.0,3.0,1.2,1.8,1,92
35,CASES,Ethiopia,7.584937009522297e-06,0.15999997889037132,0.0010000000223527488,0.14285714285714285,0.12,0.010706232548406348,0.1001837334449778,0.012195121951219513,0.10000049329339086,0.1,0.10000011081661328,1.4,0.0010526327454380344,0.001473685843613248,0.0002279375848337484,186787.010213054,0,806.4,3.0,1.2,1.8,1,82
83,CASES,Finland,9.997030601287694e-06,0.15999156066751308,0.0017043794733689473,0.14285714285714285,0.12,0.00022473504451060445,0.10000093241492196,0.008196721311475409,0.10003846358161404,0.1,0.14996654569119067,1.4,0.007307643462948228,0.010230700848127518,0.0063538545922229295,135401.6744131623,0,4132.2,3.0,1.2,1.8,1,122
154,CASES,France,9.999999999968124e-06,0.1599999999994406,0.22096233836488,0.14285714285714285,0.12,0.03296961666933969,0.10000000009406576,0.0076335877862595426,0.10000000000374556,0.1,0.10000000553600193,1.4,0.023646690037274955,0.033105366052184934,8.791488543880009e-06,3059846.264591235,0,90795.0,9.0,3.6,5.4,3,131
59,CASES,Gabon,8.987364335014599e-07,0.1599999939537985,0.015472903054360262,0.14285714285714285,0.12,3.677679919711352e-07,0.10000181963504944,0.012195121951219513,0.12255246591067215,0.1,0.14522990300670446,1.4,0.0010436931585102727,0.0014611704219143814,6.40801132801294e-05,2119274.3360341783,0,1681.8,3.0,1.2,1.8,1,82
10,CASES,Georgia,9.998299130245184e-06,0.15970178121127926,0.09692068870752613,0.14285714285714285,0.12,0.15320139419668588,0.1000000013926724,0.010526315789473684,0.10000287571130292,0.1,0.10026884126220284,1.4,0.0016562832737085605,0.0023187965831919844,0.0010239689951647146,20695.848114742166,0,480.0,3.0,1.2,1.8,1,95
158,CASES,Germany,9.766503634321053e-06,0.14954806430210235,0.005309092748210594,0.14285714285714285,0.12,0.12403204346381967,0.10657764345644244,0.0078125,0.10000286140867837,0.1,0.1004919439263118,1.4,0.0049436863203326,0.00692116084846564,1.3438896711737147e-05,347150.29036349076,0,109422.0,3.0,1.2,1.8,1,128
91,CASES,Ghana,9.999983742327845e-06,0.15999999989900304,0.006976063286900189,0.14285714285714285,0.12,0.0022360210091273204,0.100083359394813,0.012195121951219513,0.10000127756516247,0.1,0.14684597187786064,1.4,0.0006756443796293383,0.0009459021314810736,0.006788910950878968,159335.8350022696,0,4978.2,6.0,2.4,3.6,2,82
74,CASES,Goias,9.988583723491587e-06,0.1599985200109448,0.001005837040677593,0.14285714285714285,0.12,0.09058261211045282,0.10000259154291356,0.012195121951219513,0.100001826898076,0.1,0.10000780364237412,1.4,0.003573397621864291,0.005002756670610007,0.0010528771206654297,132639.19628146294,0,2626.2,9.0,3.6,5.4,3,82
60,CASES,Greece,9.998640405651926e-06,0.15979259810799076,0.32999804060989874,0.14285714285714285,0.12,0.19999999370807706,0.3992840522587016,0.010416666666666666,0.10176586762655368,0.1,0.1286821764945632,1.4,0.008409678566092302,0.01177354999252922,0.001596854980470963,43290.37829498018,0,1750.8,3.0,1.2,1.8,1,96
80,CASES,Guatemala,9.998590285070453e-06,0.1599487923366196,0.001000007410376111,0.14285714285714285,0.12,0.02678912235968037,0.10037611266458543,0.012345679012345678,0.100013155167167,0.1,0.10046175654201356,1.4,0.002261906654707609,0.003166669316590653,0.0016257188519720467,139921.48074520752,0,3351.6,3.0,1.2,1.8,1,81
67,CASES,Guinea,9.999999534928463e-06,0.1599999998714325,0.029128538082787987,0.14285714285714285,0.12,0.005761442475382328,0.10000172179295956,0.012345679012345678,0.1233670634916678,0.1,0.10000002624471116,1.4,0.000601936823770834,0.0008427115532791675,0.003031150130387794,156464.81863757785,0,2306.4,3.0,1.2,1.8,1,81
33,CASES,Guinea_Bissau,9.99996723001136e-06,0.15989877299614574,0.02816362286704137,0.14285714285714285,0.12,0.04021427928083668,0.1000014745305172,0.014492753623188406,0.10001245325809632,0.1,0.14193790275381846,1.4,0.0008531203771829809,0.0011943685280561733,0.0012225954570931339,93676.26209227204,0,803.4,6.0,2.4,3.6,2,69
