,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp
180,03/06/2020,3,6,2020,21,0.0,Albania,AL,ALB,2880913,Europe
181,02/06/2020,2,6,2020,6,0.0,Albania,AL,ALB,2880913,Europe
182,01/06/2020,1,6,2020,15,0.0,Albania,AL,ALB,2880913,Europe
183,31/05/2020,31,5,2020,23,0.0,Albania,AL,ALB,2880913,Europe
184,30/05/2020,30,5,2020,23,0.0,Albania,AL,ALB,2880913,Europe
185,29/05/2020,29,5,2020,26,0.0,Albania,AL,ALB,2880913,Europe
186,28/05/2020,28,5,2020,21,0.0,Albania,AL,ALB,2880913,Europe
187,27/05/2020,27,5,2020,25,1.0,Albania,AL,ALB,2880913,Europe
188,26/05/2020,26,5,2020,6,0.0,Albania,AL,ALB,2880913,Europe
189,25/05/2020,25,5,2020,9,1.0,Albania,AL,ALB,2880913,Europe
190,24/05/2020,24,5,2020,8,0.0,Albania,AL,ALB,2880913,Europe
191,23/05/2020,23,5,2020,12,0.0,Albania,AL,ALB,2880913,Europe
192,22/05/2020,22,5,2020,5,0.0,Albania,AL,ALB,2880913,Europe
193,21/05/2020,21,5,2020,15,0.0,Albania,AL,ALB,2880913,Europe
194,20/05/2020,20,5,2020,1,0.0,Albania,AL,ALB,2880913,Europe
195,19/05/2020,19,5,2020,2,0.0,Albania,AL,ALB,2880913,Europe
196,18/05/2020,18,5,2020,13,0.0,Albania,AL,ALB,2880913,Europe
197,17/05/2020,17,5,2020,17,0.0,Albania,AL,ALB,2880913,Europe
198,16/05/2020,16,5,2020,18,0.0,Albania,AL,ALB,2880913,Europe
199,15/05/2020,15,5,2020,18,0.0,Albania,AL,ALB,2880913,Europe
200,14/05/2020,14,5,2020,4,0.0,Albania,AL,ALB,2880913,Europe
201,13/05/2020,13,5,2020,4,0.0,Albania,AL,ALB,2880913,Europe
202,12/05/2020,12,5,2020,4,0.0,Albania,AL,ALB,2880913,Europe
203,11/05/2020,11,5,2020,12,0.0,Albania,AL,ALB,2880913,Europe
204,10/05/2020,10,5,2020,6,0.0,Albania,AL,ALB,2880913,Europe
205,09/05/2020,9,5,2020,8,0.0,Albania,AL,ALB,2880913,Europe
206,08/05/2020,8,5,2020,10,0.0,Albania,AL,ALB,2880913,Europe
207,07/05/2020,7,5,2020,12,0.0,Albania,AL,ALB,2880913,Europe
208,06/05/2020,6,5,2020,17,0.0,Albania,AL,ALB,2880913,Europe
209,05/05/2020,5,5,2020,8,0.0,Albania,AL,ALB,2880913,Europe
210,04/05/2020,4,5,2020,6,0.0,Albania,AL,ALB,2880913,Europe
