ct, chi-square, chi-reduced, akaike, population, func_call
Cape_Verde, 65665.4851, 810.685001, 626.489694, 549936.000, 7500
Ceara, 9.4162e+08, 11344794.0, 1537.26264, 9132078.00, 3600
Central_African_Republic, 88665.7334, 1030.99690, 683.338026, 4745179.00, 6573
Chad, 19934.5343, 243.104077, 521.187675, 15946882.0, 6225
Chile, 1.9966e+09, 20583212.4, 1829.11714, 18952035.0, 8711
China, 6.9461e+08, 4287743.88, 2652.56465, 1.4338e+09, 7715
Colombia, 26254097.0, 288506.561, 1292.75270, 50339443.0, 11944
Congo, 36553.3255, 420.153166, 602.312877, 5380504.00, 12686
Costa_Rica, 2127096.66, 22628.6879, 1063.21236, 5047561.00, 8243
Cote_dIvoire, 5744648.70, 65280.0989, 1107.89729, 25716554.0, 10421
Croatia, 4479868.90, 43920.2833, 1218.41197, 4076246.00, 3057
Cuba, 41503.7624, 477.054741, 614.760045, 11333484.0, 6242
Cyprus, 12035.3925, 133.726583, 504.829131, 875899.000, 3969
Czechia, 1946585.06, 19465.8506, 1106.69832, 10649800.0, 15683
Democratic_Republic_of_the_Congo, 185248.261, 2081.44114, 774.428197, 86790568.0, 7606
Denmark, 2139829.56, 20575.2842, 1152.60003, 5806081.00, 7199
Distrito_Federal, 16800558.8, 95457.7207, 2154.88724, 3015268.00, 19990
Djibouti, 6855549.05, 82596.9765, 1074.54377, 973557.000, 7431
Dominican_Republic, 4697871.84, 51624.9653, 1117.24003, 10738957.0, 19286
Ecuador, 4.5718e+08, 4762313.24, 1655.65069, 17373657.0, 10271
Egypt, 1.7270e+08, 1541947.83, 1763.04920, 1.0039e+08, 9417
El_Salvador, 255255.615, 3075.36886, 765.232240, 645355.000, 8195
Equatorial_Guinea, 405504.946, 4660.97639, 838.136245, 1355982.00, 2411
Espirito_Santo, 47785130.4, 508352.451, 1389.96780, 4018650.00, 6262
Estonia, 83195.4949, 848.933621, 745.498465, 1324820.00, 4791
Eswatini, 57127.6674, 656.639855, 646.071482, 1148133.00, 7830
Ethiopia, 300505.760, 3414.83819, 815.792133, 1.1208e+08, 12073
Finland, 556891.158, 4350.71217, 1175.09551, 5517919.00, 16136
France, 1.3205e+08, 963867.588, 2049.81872, 67012883.0, 13592
Gabon, 1002988.49, 11397.5965, 935.114100, 2172578.00, 3140
Georgia, 12238.0502, 121.168814, 547.706314, 3996762.00, 13083
Germany, 2.1109e+08, 1575304.47, 2079.70445, 83019213.0, 10583
Ghana, 12870734.8, 146258.350, 1187.75934, 30417858.0, 10323
Goias, 11780301.4, 135405.763, 1168.30324, 7018354.00, 7971
Greece, 144460.752, 1416.28188, 830.331411, 10724599.0, 16610
Guatemala, 3605340.55, 41440.6960, 1052.27001, 17581476.0, 10990
Guinea, 131796.296, 1514.89996, 727.996441, 12771246.0, 8754
