ct, success, chisqr, redchi, aic, bic, nfev, nvarys, ndata, nfree, gammaD, S0, beta, theta, p, epsilonA, epsilonI, gammaA, cD, delta
Equatorial_Guinea, True, 131848.32590500783, 2092.8305699207594, 567.4232079117959, 590.3278023232798, 2075, 10, 73, 63, 0.14895312821852735, 104550.82991735831, 9.999999762122446e-06, 0.15999999928998124, 0.004037109899083515, 0.02613440375094549, 0.10000048534222342, 0.10000020345005646, 1.4, 0.0015189905217063426
Madagascar, True, 99441.42800122028, 1744.5864561617593, 509.27630829711575, 531.3232344910255, 6495, 10, 67, 57, 0.10000444580667728, 141896.63993265637, 9.999999999108333e-06, 0.15999996039927394, 0.0010000000000024837, 0.08708634585644115, 0.2497408923054455, 0.10000019023178142, 1.4, 0.00016466142788029714
Mali, True, 11370.258371355963, 218.65881483376853, 343.1205593745034, 364.3919032249543, 992, 10, 62, 52, 0.10092450020178728, 183284.92280910807, 9.557338868479598e-06, 0.14756179708748401, 0.1953459163943859, 0.05534776191122379, 0.3385526865981715, 0.10064700784860828, 1.4, 0.0003019087449457891
Lebanon, True, 26160979.60864753, 322975.05689688306, 1163.7717221975636, 1188.880317262732, 36, 10, 91, 81, 0.11906299314919408, 167604.08367176287, 3.912624774786447e-06, 0.12091544623692332, 0.019077825680082375, 0.1836776329470552, 0.1612961276807963, 0.1161427028613797, 1.4, 3.348148765314196e-05
Mato_Grosso_do_Sul, True, 106406.16941020128, 1744.3634329541194, 539.1760661845652, 561.8028649549784, 8237, 10, 71, 61, 0.10000113226275051, 124510.66821886509, 9.99999720366046e-06, 0.15999680007346395, 0.001000011884893475, 0.10382558891017775, 0.10000903344973552, 0.10000214463784053, 1.4, 0.0008336573171709993
Haiti, True, 59175.61842363354, 1020.2692831660955, 480.27548823387707, 502.47056528563814, 814, 10, 68, 58, 0.14995780051627652, 187308.22848600862, 9.12656270015205e-06, 0.1599970072135286, 0.0010000113654189346, 5.081546561314099e-09, 0.1000004936871231, 0.10000000005135151, 1.4, 0.00011776809684055367
New_Zealand, True, 6544474.135832252, 93492.48765474645, 924.9683978788646, 948.7886642256034, 1355, 10, 80, 70, 0.11353590243763963, 699693.3210123593, 1.1789966566235211e-08, 0.10004293713663542, 0.32999840333678226, 0.18840895039912073, 0.39999651062446717, 0.14999996162741175, 1.4, 6.160310174202488e-05
Guinea_Bissau, True, 341563.1665495281, 6697.316991167218, 546.4552567236138, 567.563995365347, 1272, 10, 61, 51, 0.14756405733693118, 413929.42736408155, 8.23108704763947e-06, 0.15980225920762753, 0.05207518561499675, 0.0009130413101559377, 0.10008883457062408, 0.14995602226086424, 1.4, 0.00026368452575087353
Kenya, True, 18235833.41691181, 284934.89713924704, 938.6977154243964, 961.7383663564381, 28, 10, 74, 64, 0.10226182485410458, 27187.66441077853, 9.988881180985952e-06, 0.1226489049857199, 0.2822477308763875, 4.690123565346261e-05, 0.27425226426496757, 0.10271210343853693, 1.4, 0.00015471455616294927
Georgia, True, 68638.64505328046, 891.4109747179281, 600.3511501609019, 625.0102313474476, 14204, 10, 87, 77, 0.14820619331045276, 123406.428116387, 9.99999989661712e-06, 0.15998230014493856, 0.07289219489228767, 0.06102764363820434, 0.10048754166533769, 0.13787466203197254, 1.4, 0.0002799094825814974
Slovenia, True, 33241.46844544853, 461.68706174234075, 512.3964025786631, 536.4635950513057, 505, 10, 82, 72, 0.1362734748482925, 3149.2980785359573, 2.0442925076410973e-06, 0.11162053030768142, 0.11931089031092121, 0.045764046322165255, 0.39992659054313306, 0.10000711415535964, 1.4, 0.13253757156747242
Maldives, True, 358833.91568315413, 5276.969348281678, 677.8446760593748, 701.4117643262707, 4534, 10, 78, 68, 0.14588887112268012, 127386.76658753766, 9.99999999961354e-06, 0.15999999999738843, 0.00757528311176592, 1.6441436889946815e-06, 0.10000000001227571, 0.1000000000000628, 1.4, 0.0021256380179343615
Mato_Grosso, True, 173752.26645816016, 3048.28537645895, 546.666443617072, 568.7133698109817, 510, 10, 67, 57, 0.10425313118701685, 847880.9050668771, 1.871840321558635e-06, 0.1550986729620593, 0.009197248749818945, 0.002586562483969557, 0.399971450473535, 0.10000021063128069, 1.4, 0.0002289948484144877
Kyrgyzstan, True, 74330.1073488648, 1259.832327946861, 501.7693751565243, 524.1104402024969, 5538, 10, 69, 59, 0.14999103050505028, 1287462.177196563, 8.262101057140037e-08, 0.10000913637940781, 0.3299999326530239, 3.0486324909095866e-06, 0.39999926469068536, 0.14999774598393573, 1.4, 0.00021021907339302537
Slovakia, True, 73550637.07968256, 1050723.386852608, 1118.516642572695, 1142.3369089194339, 31, 10, 80, 70, 0.11990416989445075, 223136.99580305515, 1.1764689955072129e-07, 0.1295208728767799, 0.1500437240614419, 0.0041038329775903385, 0.20000990732767715, 0.13036465066481467, 1.4, 0.00010000423085543275
Somalia, True, 7714532.788519798, 126467.7506314721, 843.3114990302945, 865.9382978007077, 36, 10, 71, 61, 0.1483378070463897, 9907.643062732479, 9.128868878891575e-06, 0.1117503689434085, 0.018898440600098043, 0.014199022706272192, 0.3444028483485274, 0.1477813907784282, 1.4, 0.3624516036223052
Iceland, True, 19187816.267555386, 245997.64445583828, 1101.7355341493599, 1126.508902294142, 26, 10, 88, 78, 0.14999972543930032, 2360.6502362675437, 6.5202478612798806e-06, 0.11680963986163762, 0.08128566184999252, 0.05635837821002049, 0.17363806310581337, 0.11722986464144726, 1.4, 0.17113004569016727
Lithuania, True, 3939884.2667568168, 56284.06095366881, 884.3708217799378, 908.1910881266766, 1501, 10, 80, 70, 0.14760077475697403, 360601.22591529944, 9.99999977102205e-06, 0.10000016545614641, 0.3299763757607127, 0.19688771364001353, 0.39999987870703335, 0.14942670415481907, 1.4, 0.00013717834078230684
Cuba, True, 90741752.72226214, 1440345.2813057483, 1044.4140155918417, 1067.3186100033256, 30, 10, 73, 63, 0.1199023335091101, 344442.71439361054, 1.410197316467532e-07, 0.12968354590530567, 0.15014929128230367, 0.004676286170336108, 0.20001933278319634, 0.1308840960199345, 1.4, 0.00010001749046872899
Estonia, True, 5280041.777514831, 71351.91591236259, 948.084732614139, 972.3929006025722, 308, 10, 84, 74, 0.12745648157566872, 94921.06374553543, 9.99999999928259e-06, 0.10045267159013237, 0.3299999974848133, 0.19999999619966644, 0.3996335935594749, 0.14976280081028598, 1.4, 0.0005972438317086715
El_Salvador, True, 33780926.4910095, 572558.0761188051, 923.9897270187631, 946.3307920647358, 31, 10, 69, 59, 0.10003945132587322, 50369.782711877764, 9.996079904670588e-06, 0.15992355626731802, 0.006933832872487657, 0.1999907962880176, 0.12437434025205059, 0.10000022248691479, 1.4, 0.0002452264023711792
Croatia, True, 5696631.297995163, 73033.73458968158, 994.8682894073463, 1019.6416575521284, 105, 10, 88, 78, 0.13271341334680375, 159948.37502007151, 5.939929164599685e-06, 0.12034527677734935, 0.32998772980110835, 0.1791471668591106, 0.39737251111947625, 0.1478224963752381, 1.4, 0.0004200247467245344
North_Macedonia, True, 729604.1249004765, 10276.11443521798, 757.5704655527263, 781.5149570994507, 766, 10, 81, 71, 0.1019826979557904, 88184.4906575653, 9.971902389396867e-06, 0.10000004062891883, 0.3299758665003333, 0.19999999766256896, 0.3987230275639111, 0.10004080555013048, 1.4, 0.000537057482724701
Gabon, True, 174039.46318497646, 2719.366612265257, 594.4599471801297, 617.5005981121714, 780, 10, 74, 64, 0.13591124944428545, 2119272.362357392, 5.697496985108603e-07, 0.15993501141806518, 0.0017511008740504425, 0.0005256472225934839, 0.10003605361757975, 0.10096055963944835, 1.4, 0.000525534308156439
Taiwan, True, 385746.74127014214, 3354.319489305584, 1024.3278231388417, 1052.6109605118647, 18596, 10, 125, 115, 0.10006956373850531, 57139.31256579366, 9.999876463065404e-06, 0.15999996807416714, 0.056858111933626235, 0.01829124221227264, 0.10001609856205082, 0.10192916945698309, 1.4, 0.0005177622940838456
Democratic_Republic_of_the_Congo, True, 204150.4274126415, 3140.7758063483307, 613.1843207622351, 636.3592018975982, 31, 10, 75, 65, 0.10059353053514906, 269027.295386652, 8.769503312098178e-06, 0.10117450786123652, 0.004389829922613799, 0.19998929833278606, 0.18561454199698513, 0.10000888115245103, 1.4, 0.00019716624276877592
Bosnia_and_Herzegovina, True, 126345733.005487, 1943780.507776723, 1095.2783379848788, 1118.453219120242, 30, 10, 75, 65, 0.1198502833181776, 571752.5077772489, 1.3248995686471644e-07, 0.12964238606355105, 0.1501157125383695, 0.0032682481783302356, 0.2000228008736082, 0.13264366403936945, 1.4, 0.00010001282485178065
Cote_dIvoire, True, 108663163.71015006, 1697861.9329710947, 1070.7776757645784, 1093.81832669662, 20, 10, 74, 64, 0.10001892274693117, 2907.6, 9.999999984531002e-06, 0.15988490462215552, 0.15942855815573967, 0.0323643244582989, 0.3984806964705184, 0.14294864389211243, 1.4, 8.36197750584966e-05
Bulgaria, True, 338613.8955700109, 4979.616111323689, 673.3207428374393, 696.8878311043352, 688, 10, 78, 68, 0.1487638327748675, 1392001.1999742414, 1.256795643159725e-08, 0.1000000024820891, 0.13079813689395237, 0.0274635961929279, 0.3999999356006678, 0.14826242459927974, 1.4, 0.0001458079364647369
Djibouti, True, 2123939.7690924476, 35998.97913716013, 733.092699134003, 755.4337641799757, 183, 10, 69, 59, 0.14392052210875167, 217635.64046472142, 9.947872894183607e-06, 0.1258667662928043, 0.16407980663259533, 0.02090779116042654, 0.39702975355200254, 0.10256388954991548, 1.4, 0.0006841023203407737
Greece, True, 33716172.89401415, 432258.62684633525, 1151.3413208732532, 1176.1146890180353, 25, 10, 88, 78, 0.10142440075360959, 12451.047320364612, 7.029680813851409e-06, 0.1411223402249415, 0.047231395120881314, 0.12450457025592986, 0.36580987627411565, 0.10083996326188714, 1.4, 0.008365415439032353
Tocantins, True, 118068.53568589229, 2035.6644083774534, 527.246873158333, 549.441950210094, 1004, 10, 68, 58, 0.1499442562839763, 445826.7207146286, 4.658812074983203e-06, 0.15999992229611118, 0.006993861994046076, 2.751939403355941e-07, 0.10000008116641138, 0.10021143359357022, 1.4, 0.00024137608868574079
Thailand, True, 427050288.159061, 3619070.2386361104, 1942.6089051140032, 1971.1292077531994, 31, 10, 128, 118, 0.11991181150655397, 91755.00626306538, 1.0687379377249285e-07, 0.12961646406653282, 0.1500201365674031, 0.00011433827798323914, 0.20000600415400066, 0.13028553078578337, 1.4, 0.00010000147450078822
Goias, True, 341536.30974780803, 5336.5048398095005, 644.348669574183, 667.3893205062246, 1651, 10, 74, 64, 0.10221328480021909, 1636772.5885264322, 3.0462361665510905e-06, 0.1599999966305013, 0.05578219074126696, 8.966007850845781e-05, 0.39999997539020293, 0.10000673690852664, 1.4, 2.4315733426760744e-08
Tajikistan, True, 255893.20861598867, 15993.325538499292, 259.0548925586524, 271.6358579388672, 1162, 10, 26, 16, 0.12008412637843234, 1075962.3641826787, 9.999648250919355e-06, 0.10077186112521833, 0.3118619571966774, 0.14066164335703027, 0.39999909087608787, 0.14999999954355459, 1.4, 0.00023675544015300254
Puerto_Rico, True, 868441.8619469692, 17368.837238939384, 594.8066815662285, 615.7501271884495, 115, 10, 60, 50, 0.1027834266958472, 8597.979911765917, 8.979198605032088e-06, 0.13755646360302026, 0.26746096710818357, 0.19999999975649754, 0.39997401684236267, 0.10000991537365124, 1.4, 0.010714495467978202
Uzbekistan, True, 21311367.43052229, 343731.7327503595, 927.062123707284, 949.8287848974445, 29, 10, 72, 62, 0.11839165502280312, 1603553.1820778986, 1.987402569854463e-07, 0.1294942720720716, 0.15071656807871392, 0.04389745141110351, 0.2000684204548968, 0.12903623538610076, 1.4, 0.00010007448415316755
Guinea, True, 3565854.3209209987, 56600.86223684125, 808.141199172493, 831.0457935839769, 115, 10, 73, 63, 0.10261391014464032, 37370.314051938454, 9.873353234926957e-06, 0.12745719190670043, 0.049813129842443835, 0.12914183715420618, 0.10437622406649862, 0.10000000008988646, 1.4, 0.003458882052142065
Roraima, True, 49533.34719808615, 900.6063126924755, 451.34091861961986, 473.0847913185762, 4196, 10, 65, 55, 0.14999997923579994, 128630.21195760294, 9.999999789716748e-06, 0.15999998014078523, 0.008715552860564631, 9.704408758670624e-06, 0.10000015059311568, 0.10000145935804969, 1.4, 0.009244463739195796
